Kategori_Asal,Judul,Penulis,Deskripsi,ISBN,Bahasa,Penerbit,Cover_URL,Local_Path
Fiksi,Petualangan Tintin: Perjalanan ke Bulan,Herge (Pengarang) ; Anastasia Mustika W. (Penerjemah),Petualangan Tintin: Perjalanan Ke Bulan,9786020308470,Indonesia,"Jakarta : Gramedia Pustaka Utama, 2024",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/378223.png,covers\petualangan_tintin_perjalanan_ke_bulan.jpg
Fiksi,A crane among wolves = bangau di tengah kawanan serigala,"Hur, June (Pengarang) ; Meggy Soedjatmiko (Penerjemah)","1506, Joseon. Rakyat hidup menderita karena kekejaman Raja Yeonsan. Iseul, 17 tahun, mantan gadis bangsawan, hidup aman dalam pelarian. Namun, saat sang kakak, Suyeon, diculik Raja, ia berjuang pergi ke ibu kota demi menyelamatkannya. Pangeran Daehyun hanya bisa menyaksikan kebengisan Raja Yeonsan, saudara tirinya, tapi ia lalu mencari cara untuk menggulingkan Raja. Gagal melakukan kudeta akan berujung fatal, karena itu ia butuh bantuan---tapi tak ada cara untuk memastikan siapa yang bisa ia percaya. Ketika Iseul dan Daehyun bertemu, rasa benci terhadap Raja mengalahkan kebencian mereka pada satu sama lain. Dengan koneksi keluarga Iseul dan akses kerajaan Daehyun, mereka menyatukan kekuatan untuk melakukan aksi paling riskan yang pernah ada di Joseon. ; Buku ini sudah diterjemahkan kedalam Bahasa Indonesia",9786020681399,Indonesia,"Jakarta : Gramedia Pustaka Utama, 2025",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/378151.png,covers\a_crane_among_wolves_=_bangau_di_tengah_kawanan_serigala.jpg
Fiksi,Kokokan mencari arumbawangi,Cyntha Hariadi (Pengarang),"Seorang anak dikirim dari langit, dibawa oleh kokokan, dan dijatuhkan ke kebun bawang merah milik Nanamama. Anak itu kotor sekali, tapi sangat lucu. Kakaputu yang melihatnya langsung sayang dan membawanya pulang. Nanamama memberinya nama Arumbawangi. Sejak itu hidup mereka bertiga penuh kegembiraan, sampai suatu ketika datanglah seorang pengusaha hendak mendirikan hotel di tengah sawah. Saat seluruh warga desa sepakat untuk menjual lahan, hanya Nanamama yang bergeming. Tanah adalah denyut nadi bagi Nanamama. Walau keserakahan manusia kadang lebih berkuasa dari akal sehat, Nanamama bersama Kakaputu dan Arumbawangi dengan gagah berani mempertahankan tanah mereka.",9786020640259,Indonesia,"Jakarta : Gramedia Pustaka Utama, 2025",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/378138.png,covers\kokokan_mencari_arumbawangi.jpg
Fiksi,The necklace and other stories,Maupassant Guy de (Pengarang) ; Jonathan Sturges (Penerjemah),“How life is strange and changeful! How little a thing is needed for us to be lost or to be saved!”,9786231343048,Inggris,"Jakarta : Kepustakaan Populer Gramedia, 2025",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/378091.png,covers\the_necklace_and_other_stories.jpg
Fiksi,Boneka sandya,Eve Shi (Pengarang),"Maukah kamu mendengar kisah tentang boneka-boneka hidup? Aku tinggal bersama mereka sejak kecil. Ada yang senang berbuat iseng, dan ada yang menolongku. Ada pula yang pernah membunuh manusia. Aku menjalani hidupku dengan wajar, bersekolah dan bekerja. Sampai akhirnya aku harus mengurus boneka-boneka itu seorang diri. Lalu, jika mereka tak suka padaku dan menyerangku, sanggupkah aku melawan?",9786230007828,Indonesia,"Jakarta : Elex Media Komputindo, 2019",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/378083.png,covers\boneka_sandya.jpg
Fiksi,The dream of an hour and other stories,Chopin Kate (Pengarang),“Beside being a respectable woman she was a very sensible one; and she knew there are some battles in life which a human being must fight alone.”,9786231343031,Inggris,"Jakarta : Kepustakaan Populer Gramedia, 2025",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/378061.png,covers\the_dream_of_an_hour_and_other_stories.jpg
Fiksi,Perempuan di rumah No. 8,Mutiarini (Pengarang),"Setelah dihajar suaminya sampai keguguran, Anika melarikan diri dari rumah dan mencari tempat persembunyian. Dari rumah aman di Bogor, ia akhirnya mendapatkan pekerjaan baru di Yogyakarta. Di sana, ia menempati rumah kontrakan mungil bernomor delapan yang telah lama kosong. Tak disangka, rumah itu menyimpan rahasia. Sesosok hantu perempuan berleher patah mengganggu malam-malam Anika. Lambat laun, Anika mengetahui bahwa hantu perempuan bernama Lastri itu pun korban kekerasan dalam rumah tangga seperti dirinya. Perkenalan Anika dengan Lastri menguatkan tekadnya untuk menyudahi pernikahannya yang beracun. Anika tak ingin hidupnya berakhir tragis seperti Lastri. Ia juga ingin melepaskan diri dari Reza dan ayah suaminya yang merupakan pejabat berpengaruh.",9786020675725,Indonesia,"Jakarta : Gramedia Pustaka Utama, 2024",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/378028.png,covers\perempuan_di_rumah_no._8.jpg
Fiksi,Poni jangan lari,Erni Hastuti (Pengarang) ; Endah Pamulatsih (Ilustrator),Belum ada deskripsi :(,9786026343505,Indonesia,"Tanggerang : Pelangi Indonesia, 2021",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/376946.jpg,covers\poni_jangan_lari.jpg
Fiksi,Seri Didot : Sampah pembawa petaka,Faiza Ardhine Latifa (Pengarang) ; Redaksi Arunikata (Pengarang) ; Watdeerzet (Ilustrator),Belum ada deskripsi :(,978-623-7524-19-9,Indonesia,"Yogyakarta : Arunikata, 2025",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/376633.png,covers\seri_didot__sampah_pembawa_petaka.jpg
Fiksi,Seri Didot : Sepeda impian Didit,Faiza Ardhine Latifa (Pengarang) ; Redaksi Arunikata (Pengarang) ; Watdeerzet (Ilustrator),Belum ada deskripsi :(,978-602-3866-67-1,Indonesia,"Yogyakarta : Arunikata, 2025",https://perpustakaan.jakarta.go.id/catalog-dispusip/uploaded_files/sampul_koleksi/original/Monograf/376601.png,covers\seri_didot__sepeda_impian_didit.jpg
